,Unnamed: 0,product_id,date_posted,review_title,review_text,scores,compound,sentiment
0,0,59337,2024-02-20,Fantastic ,"After using this for just a few days, I noticed a significant improvement in the condition of my hands. The formula effectively moisturized dry patches and softened rough areas, leaving my skin feeling velvety-smooth and nourished. It also helped to relieve irritation and redness, making it ideal for sensitive skin types.","{'neg': 0.056, 'neu': 0.69, 'pos': 0.254, 'compound': 0.8689}",0.8689,pos
1,1,59337,2024-01-02,,"This lemon scented lotion is so good! It smells like a really fragrant real lemon. It is moisturizing enough to be applied in dry winter and does not cause any breakouts. I mainly apply it to my body, but my child and husband are very satisfied with the fact that they can apply it to their face as well and it stays moisturized without causing any problems.","{'neg': 0.0, 'neu': 0.81, 'pos': 0.19, 'compound': 0.92}",0.92,pos
2,2,59337,2023-10-28,Lovely Lemon!,"First let me say that my bathroom is full of 99% of Desert Essence products. This lotion is what I use year round after showering. The scent is so yummy, but light. The scent does fade away, but that’s good. You don’t want artificial chemicals in your lotion being applied to your skin. It leaves your skin moisturized and smooth. ","{'neg': 0.0, 'neu': 0.875, 'pos': 0.125, 'compound': 0.7896}",0.7896,pos
3,3,59337,2024-07-04,Прекрасно!,"Thank you very much for this product, it suited me, I like the packaging, comfortable and stylish, I will order more of these products, and recommend them to all my friends and relatives! good!!
","{'neg': 0.0, 'neu': 0.595, 'pos': 0.405, 'compound': 0.9491}",0.9491,pos
4,4,59337,2024-05-14,Great product,"It is all natural, high quality. I Love the scent. Use it a lot - my skin is awfully dray and sensitive, this cream is one of few that keeps my skin moisturized.    ","{'neg': 0.0, 'neu': 0.807, 'pos': 0.193, 'compound': 0.7717}",0.7717,pos
5,5,59337,2024-04-03,refreshing moisturizer!,"I love the lemony scent of this lotion! Too bad the scent doesn't seem to linger. I would purchase it again, anyway. It's absorbent, moisturizing and fresh.","{'neg': 0.108, 'neu': 0.681, 'pos': 0.21, 'compound': 0.5093}",0.5093,pos
6,6,59337,2024-02-24,Repeatedly purchased this,Absolute love this product. Have bought many times over the years. Love the scent and how my skin feels when using it. Will continue to buy. Really like the packaging also. Definitely recommend this product!,"{'neg': 0.0, 'neu': 0.643, 'pos': 0.357, 'compound': 0.9492}",0.9492,pos
7,7,59337,2024-02-07,Lovely lotion,"I really like all the range of lotions from this brand. They have aloe Vera and shea butter but I find it absorbs nicely 
I love it after being in the sun all day","{'neg': 0.0, 'neu': 0.708, 'pos': 0.292, 'compound': 0.9108}",0.9108,pos
8,8,59337,2024-01-07,Smells great ,"This lotion goes on great and I noticed in the summer bugs don't like the smell so much. Added benefit for me. It keeps my skin soft , less scratchy.","{'neg': 0.061, 'neu': 0.725, 'pos': 0.214, 'compound': 0.7394}",0.7394,pos
9,9,59337,2024-01-04,Love it Love it!,"Wonderful hand lotion!  Light natural lemon scent that isn't overpowering.  Not greasy and absorbs well.  Usually purchase fragrance fee products, but prefer the lemon scent for this particular lotion. ","{'neg': 0.0, 'neu': 0.757, 'pos': 0.243, 'compound': 0.722}",0.722,pos
