,product_id,date_posted,review_title,review_text,scores,compound,sentiment
0,117600,2024-03-19,great quality passionflower,"This passion flower supplement is remarkable! Its high-quality ingredients contribute to overall health and complement any diet beautifully. With its potential benefits for bone health and preventive effects, it's suitable for all ages. Plus, its compact size ensures ease of use. Experience noticeable improvements in well-being and efficiency with this potent supplement!","{'neg': 0.0, 'neu': 0.684, 'pos': 0.316, 'compound': 0.9627}",0.9627,pos
1,117600,2023-12-09,,"While Lemon Balm helps my sleep at night, Passion Flower provides a gentle yet effective way to manage stress during the day. Its calming properties have proven beneficial in navigating the challenges of a stressful work environment. Although slightly milder than Lemon Balm, the combination of both has significantly contributed to a more balanced and peaceful daily experience. Highly recommend! ","{'neg': 0.079, 'neu': 0.596, 'pos': 0.325, 'compound': 0.9513}",0.9513,pos
2,117600,2023-12-04,Great product helps me drive ,"Been taking this product for a year now, and when I ran out, I noticed the difference. Ran out of it while traveling, and that was a big mistake, this stuff really helps. Keep my anxieties down while driving.
The capsules are not huge, there is no funky odors, just an all-around great product and a great price.","{'neg': 0.146, 'neu': 0.685, 'pos': 0.169, 'compound': 0.6737}",0.6737,pos
3,117600,2023-11-25,Good for relaxation,"The ingredient quality is great, for age and hemp, the package is quite good, the composition benefits are great, good for improving your relaxation diet and mood, the supplement is awesome, so are the taste and smell, if your concern is to relax well this product can help you a lot with that. ","{'neg': 0.0, 'neu': 0.538, 'pos': 0.462, 'compound': 0.9874}",0.9874,pos
4,117600,2023-11-12,Love this product! ,I love this herb. Gives me a chill vibe which is an improvement for me and helps me maintain a regulated nervous system. Highly recommend. I used to take it in tea but need all the help I can feet so now I have this in the morning and evening. ,"{'neg': 0.03, 'neu': 0.739, 'pos': 0.23, 'compound': 0.8518}",0.8518,pos
5,117600,2023-12-31,,"Very calming effect and has no stomach upset or bad tastsy
Take it in the early morning cause it works better than if you take it at night 
It want make you sleepy but makes your mind is clear and the Brian fog just disappear","{'neg': 0.15, 'neu': 0.692, 'pos': 0.159, 'compound': 0.1272}",0.1272,pos
6,117600,2024-09-26,Very nice product. I like it,"Generally I like this company's products and this one is no exception. Its package is light and comfortable, the ingredients are of a good quality, the size is easy for me to swallow and has no weird taste. This supplement has a positive effect on my overall health. It also boosts my energy levels and I recommend it.","{'neg': 0.086, 'neu': 0.604, 'pos': 0.31, 'compound': 0.9432}",0.9432,pos
7,117600,2024-09-11,Cheap but it gets the job done,"You should know that this is not passion flower extract, so if you have been using those products you should adjust dosage for these babies. From my experience two of these pills equals 250-350 mg of extract ones, but I could be wrong, just try and see for yourself. Once I corrected the dosage this product worked just fine. Will order again.","{'neg': 0.09, 'neu': 0.876, 'pos': 0.034, 'compound': -0.5705}",-0.5705,neg
8,117600,2024-08-30,,"It's an absolute godsend for one's beauty sleep. These marvellous little capsules have become the crown jewel of one's nightly routine, soothing one's nerves after a whirlwind day of soirées and charity galas. One finds oneself drifting off to dreamland with the elegance of a swan gliding across a moonlit lake.","{'neg': 0.023, 'neu': 0.675, 'pos': 0.301, 'compound': 0.9509}",0.9509,pos
9,117600,2024-07-17,Passion Flower,"Passion flower (Passiflora incarnata) is a plant known for its calming and medicinal properties. Here are its key benefits and uses, particularly for women:

Reduces Anxiety: Passion flower is commonly used to alleviate anxiety and promote a sense of calm. It works by increasing levels of gamma-aminobutyric acid (GABA) in the brain, which helps reduce brain activity and induce relaxation.

Improves Sleep: The herb ingredients is often used as a natural remedy for insomnia and other sleep disorders. It can help individuals fall asleep faster and improve overall sleep quality.

Eases Menstrual Symptoms: Passion flower can help relieve menstrual cramps and discomfort due to its muscle relaxant properties. It may also help stabilize mood swings associated with PMS.","{'neg': 0.042, 'neu': 0.633, 'pos': 0.325, 'compound': 0.9899}",0.9899,pos
10,117600,2024-06-23,Soothing,"The overall quality, ingredient, size, dosage, benefits and taste of this product is great. It helped me feel relaxed and I was calm during the day. It also helped me sleep well and soothes my night sleep. I recommend this product it is very useful for stress relieve and the ingredients are good","{'neg': 0.044, 'neu': 0.59, 'pos': 0.366, 'compound': 0.9654}",0.9654,pos
11,117600,2024-06-17,Nice 👍🙂,"This health essential is packed with quality ingredients and thoughtful packaging for reliability and effectiveness. It offers a clean, potent formula in a generous size that lasts. Whether it's the comprehensive multivitamin blend or the premium protein source, it supports wellness goals effectively. The packaging keeps it fresh and potent, making it a top choice for high-quality supplements to boost your health.","{'neg': 0.0, 'neu': 0.656, 'pos': 0.344, 'compound': 0.9709}",0.9709,pos
12,117600,2024-06-08,best taken at night,I use this for it's claimed benefits with sleep problems. It's said to help you sleep. The dosage seems fine and size of the capsule is regular. I don't think that it tastes bad. I have noticed that it may have a little effect with better sleep. ,"{'neg': 0.117, 'neu': 0.699, 'pos': 0.184, 'compound': 0.3687}",0.3687,pos
13,117600,2024-05-25,Love it,"I have some sleep and anxiety problems because of a very difficult life situation. I don't want to take pharmaceutical drugs as they are extremely harmful and addictive, so I help myself with natural remedies. Passion Flower is one of the best for anxiety and sleep troubles, but I also combine it with Lemon Balm, Kava Kava, Chamomile, Hops and Valerian. Highly recommended, because sleep deprivation and stress are literally killing us!","{'neg': 0.267, 'neu': 0.605, 'pos': 0.128, 'compound': -0.9025}",-0.9025,neg
14,117600,2024-04-08,Sleep help as an advantage,I bought this product for my girlfriend in order to help her fall asleep the dosage size and ingredients are exactly what is she looking for as she support natural products the quality seems to be high as well. I think it has it s benefits and helps my girlfriend to fall asleep,"{'neg': 0.0, 'neu': 0.743, 'pos': 0.257, 'compound': 0.9217}",0.9217,pos
15,117600,2024-04-08,Good,"I think it's high quality product, ingredient list says it's not the extract, but the whole plant, so not so strong. The size of pills are small, easy to swallow, has no bad taste. I bought it for hormonal issues and hope it makes a difference. Dosage is 1 capsule, so it should be enough for 2 months.","{'neg': 0.185, 'neu': 0.702, 'pos': 0.113, 'compound': -0.7133}",-0.7133,neg
16,117600,2024-04-05,Good product!,"The main ingredient is the passionflower. It helps me to reduce the stress levels, impacts the quality of my sleep, works as a mild sedative. I acquire many benefits from this product. There is no bad taste. The size of the tablets is convenient. The dosage is just right for me. Will buy again. ","{'neg': 0.139, 'neu': 0.754, 'pos': 0.107, 'compound': -0.4588}",-0.4588,neg
17,117600,2024-03-11,Great supplement for sleep.,"A great quality supplement for a great nights sleep! Might improve your sleeping schedule, if taken as instructed. I had concerns with the taste of the pill form supplements, but this capsule packaging is worth it! Quality product, with quality ingredients. The size of the package could be bigger though.","{'neg': 0.0, 'neu': 0.812, 'pos': 0.188, 'compound': 0.8395}",0.8395,pos
18,117600,2024-01-11,Great value and taste,"I switched to this brand from a more expensive version and I am very happy with the decision. I'm getting the same benefits, with a better price. The composition is exactly what I was looking for and there's enough in the package to last many months. I love the taste too.
","{'neg': 0.0, 'neu': 0.75, 'pos': 0.25, 'compound': 0.9286}",0.9286,pos
19,117600,2024-06-14,great quality,This is one of my favorite product. I use this for fibromyalgia pain and it helps me sleep. I also use it when I have a lot of shoulder pain or a bad headache.  I find that it works faster and better for me than tylenol,"{'neg': 0.192, 'neu': 0.646, 'pos': 0.162, 'compound': -0.3818}",-0.3818,neg
20,117600,2024-03-09,Helps!,"I like Swanson Passion Flower.  It helps, but I am a very keyed- up person, so this may work better for someone who doesn't have as much stress as I do.  Passion Flower helps take the edge off for me.    My husband likes this formula and it helps him a lot.","{'neg': 0.057, 'neu': 0.573, 'pos': 0.37, 'compound': 0.9595}",0.9595,pos
21,117600,2023-12-22,Passion flower,A quality product the works well in reducing anxiety and insomnia. It is natural and definitely has no side effects that I know of.  As a supplement it reduces you laying awake at night and benefit in giving you strength for the day to come.,"{'neg': 0.072, 'neu': 0.632, 'pos': 0.296, 'compound': 0.9001}",0.9001,pos
22,117600,2023-12-07,,"Thank you very much for this product, it suited me, I like the packaging, comfortable and stylish, I will order more of these products, and recommend them to all my friends and relatives! good!!
","{'neg': 0.0, 'neu': 0.595, 'pos': 0.405, 'compound': 0.9491}",0.9491,pos
23,117600,2024-10-02,,"Thank you for providing such outstanding supplements! The quality is exceptional, with thoughtfully selected ingredients that offer remarkable health benefits. Your products have made a significant positive impact on my overall well-being. I also appreciate the secure and reliable packaging. Thanks again, iHerb!","{'neg': 0.0, 'neu': 0.513, 'pos': 0.487, 'compound': 0.9806}",0.9806,pos
24,117600,2024-09-20,Part of my nighttime routine ,"Im a very anxious person and I have certain supplements that help calm my thoughts. 
This product is good quality and great value for the money.","{'neg': 0.064, 'neu': 0.475, 'pos': 0.461, 'compound': 0.9218}",0.9218,pos
25,117600,2024-09-17,great,"perfect for anxiety made a big difference can always trust this brand to deliver super good 

price and always quality ingredients in there products there not too big to take size wise and the dosage is perfect ","{'neg': 0.033, 'neu': 0.565, 'pos': 0.402, 'compound': 0.9633}",0.9633,pos
